tgname,trigger_def
RI_ConstraintTrigger_a_29096,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_29096"" AFTER DELETE ON public.profiles FROM user_bank_accounts NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_cascade_del""()"
RI_ConstraintTrigger_a_29097,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_29097"" AFTER UPDATE ON public.profiles FROM user_bank_accounts NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_upd""()"
RI_ConstraintTrigger_a_29122,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_29122"" AFTER DELETE ON public.profiles FROM user_reviews NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_cascade_del""()"
RI_ConstraintTrigger_a_29123,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_29123"" AFTER UPDATE ON public.profiles FROM user_reviews NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_upd""()"
RI_ConstraintTrigger_a_29229,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_29229"" AFTER DELETE ON public.profiles FROM pwa_install_status NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_cascade_del""()"
RI_ConstraintTrigger_a_29230,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_29230"" AFTER UPDATE ON public.profiles FROM pwa_install_status NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_upd""()"
RI_ConstraintTrigger_a_32754,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_32754"" AFTER DELETE ON public.profiles FROM wallet_upgrade_requests NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_cascade_del""()"
RI_ConstraintTrigger_a_32755,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_32755"" AFTER UPDATE ON public.profiles FROM wallet_upgrade_requests NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_upd""()"
RI_ConstraintTrigger_a_32841,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_32841"" AFTER DELETE ON public.profiles FROM upgrade_appointments NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_cascade_del""()"
RI_ConstraintTrigger_a_32842,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_a_32842"" AFTER UPDATE ON public.profiles FROM upgrade_appointments NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_noaction_upd""()"
RI_ConstraintTrigger_c_17579,"CREATE CONSTRAINT TRIGGER ""RI_ConstraintTrigger_c_17579"" AFTER INSERT ON public.profiles FROM auth.users NOT DEFERRABLE INITIALLY IMMEDIATE FOR EACH ROW EXECUTE FUNCTION ""RI_FKey_check_ins""()"
